epoch,depth,error
2458503.2281944,-0.19760,0.00149
2458503.2296528,-0.20044,0.00144
2458503.2311458,-0.19665,0.00139
2458503.2326620,-0.19769,0.00137
2458503.2341551,-0.19977,0.00135
2458503.2356481,-0.19574,0.00135
2458503.2371412,-0.19754,0.00134
2458503.2386343,-0.19436,0.00132
2458503.2400926,-0.19530,0.00130
2458503.2415394,-0.19543,0.00133
2458503.2429977,-0.19320,0.00131
2458503.2444444,-0.19670,0.00130
2458503.2473611,-0.19347,0.00131
2458503.2488079,-0.19363,0.00131
2458503.2502662,-0.19201,0.00131
2458503.2517130,-0.19021,0.00130
2458503.2531713,-0.18956,0.00129
2458503.2546296,-0.18767,0.00130
2458503.2560764,-0.18752,0.00130
2458503.2575347,-0.18002,0.00131
2458503.2590278,-0.18027,0.00130
2458503.2605208,-0.17909,0.00130
2458503.2620139,-0.17693,0.00129
2458503.2635069,-0.17452,0.00128
2458503.2664120,-0.17118,0.00127
2458503.2678935,-0.17231,0.00130
2458503.2693519,-0.16842,0.00129
2458503.2708333,-0.16796,0.00128
2458503.2722801,-0.16941,0.00129
2458503.2737731,-0.16787,0.00127
2458503.2752315,-0.16880,0.00127
2458503.2766782,-0.16651,0.00131
2458503.2781713,-0.17096,0.00130
2458503.2796296,-0.16824,0.00131
2458503.2811227,-0.16784,0.00132
2458503.2825694,-0.16407,0.00130
2458503.2840278,-0.16941,0.00132
2458503.2854861,-0.16885,0.00132
2458503.2869329,-0.16536,0.00130
2458503.2883912,-0.16622,0.00132
2458503.2898380,-0.16536,0.00133
2458503.2912963,-0.16560,0.00132
2458503.2927546,-0.16567,0.00132
2458503.2942708,-0.16525,0.00132
2458503.2957639,-0.16720,0.00132
2458503.2972569,-0.16767,0.00133
2458503.2987153,-0.16420,0.00133
2458503.3016435,-0.16517,0.00131
2458503.3031019,-0.16544,0.00131
2458503.3045949,-0.16297,0.00133
2458503.3060417,-0.16737,0.00131
2458503.3075000,-0.16647,0.00134
2458503.3089583,-0.16653,0.00130
2458503.3104051,-0.16783,0.00133
2458503.3118634,-0.16553,0.00133
2458503.3133102,-0.16828,0.00133
2458503.3148032,-0.16354,0.00134
2458503.3162616,-0.16551,0.00133
2458503.3192361,-0.16748,0.00130
2458503.3206944,-0.16815,0.00132
2458503.3221412,-0.16492,0.00131
2458503.3235995,-0.16713,0.00131
2458503.3250579,-0.16565,0.00131
2458503.3265046,-0.16353,0.00133
2458503.3279630,-0.16587,0.00132
2458503.3294097,-0.16650,0.00132
2458503.3309375,-0.16719,0.00133
2458503.3324074,-0.16603,0.00135
2458503.3338657,-0.16700,0.00133
2458503.3353241,-0.16461,0.00134
2458503.3368171,-0.16552,0.00133
2458503.3382639,-0.16824,0.00133
2458503.3397222,-0.16921,0.00137
2458503.3412037,-0.16627,0.00138
2458503.3426505,-0.16726,0.00142
2458503.3441088,-0.16594,0.00139
2458503.3455671,-0.16736,0.00141
2458503.3470139,-0.17069,0.00141
2458503.3484722,-0.16952,0.00141
2458503.3499306,-0.17168,0.00144
2458503.3513773,-0.16830,0.00140
2458503.3528356,-0.17238,0.00139
2458503.3542824,-0.16908,0.00141
2458503.3557407,-0.17322,0.00143
2458503.3586458,-0.17370,0.00148
2458503.3601042,-0.17397,0.00151
2458503.3630093,-0.18189,0.00155
2458503.3644907,-0.18274,0.00155
2458503.3674190,-0.18581,0.00158
2458503.3688773,-0.18519,0.00159
2458503.3703356,-0.19251,0.00155
2458503.3718171,-0.18911,0.00152
2458503.3732755,-0.19236,0.00154
2458503.3761806,-0.19412,0.00155
2458503.3776273,-0.19389,0.00150
2458503.3790856,-0.19382,0.00149
2458503.3805440,-0.19312,0.00149
2458503.3819907,-0.19123,0.00149
2458503.3834491,-0.19616,0.00151
2458503.3848958,-0.18947,0.00151
2458503.3863889,-0.19590,0.00151
2458503.3879167,-0.19513,0.00155
2458503.3893634,-0.19405,0.00152
2458503.3908218,-0.19354,0.00154
2458503.3922801,-0.19415,0.00158
2458503.3937269,-0.19543,0.00159
2458503.3951852,-0.19659,0.00156
2458503.3966319,-0.19789,0.00156
2458503.3981134,-0.19562,0.00157
2458503.3995718,-0.19727,0.00152
2458503.4010301,-0.19236,0.00157
2458503.4024769,-0.19185,0.00153
2458503.4039699,-0.19433,0.00152
2458503.4054282,-0.19365,0.00154
